domain,score,reason,status,priority,next_action,notes,response_time_ms,final_url,ssl_valid,ssl_days_until_expiry,domain_age_days,server_country,has_live_content,html_title,word_count,scrape_method,credits_used,error
seoblog-spammy-content.online,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
discount-meds-online.net,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
geocities-archive.org,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
airtable.com,0,Critical failure: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,True,"Airtable: Build Enterprise-ready AI Workflows, Apps & Agents - Airtable",266,serper,2,Pass1 Exception: Failed to resolve domain via HTTP/HTTPS
bestquote-insurance.biz,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
bygonecompany2018.com,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
domain-for-sale-here.net,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
oldnavy-warehouse.com,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
stallout-domain.net,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
bestbuydiscount-now.net,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
project-discontinued.org,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
oldforumarchive.net,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
paymentgateway-test.com,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
this-was-a-store.shop,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
buy-followers-fast.life,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
mywebsite-parked.com,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
prospect-finder-tool.co,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
weather-update-zone.com,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
old-startup-failed.co,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
gymnasticsclub-blogspot.com,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
instant-cash-2024.info,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
test-domain-12345.test,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
crypto-airdrop-2025.click,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
hugo-static-blog.dev,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
finance-tracker-app.io,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
crm-leads-export.app,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
