domain,score,reason,status,priority,next_action,notes,response_time_ms,final_url,ssl_valid,ssl_days_until_expiry,domain_age_days,server_country,has_live_content,html_title,word_count,scrape_method,credits_used,error
amazonaws.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (658),success,High,Manual Review,,1189.28,https://aws.amazon.com/,True,145.0,7567.0,COM,True,Cloud Computing Services - Amazon Web Services (AWS),658.0,bs4,0.0,
anthropic.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (625),success,High,Manual Review,,824.85,https://www.anthropic.com/,True,59.0,8983.0,COM,True,Home \ Anthropic,625.0,bs4,0.0,
asana.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1234),success,High,Manual Review,,5445.23,https://asana.com,True,67.0,6315.0,COM,True,"Manage your team‚Äôs work, projects, & tasks online ‚Ä¢ Asana",1234.0,bs4,0.0,
cal.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (3226),success,High,Manual Review,,4853.24,https://cal.com,True,70.0,10583.0,COM,True,Cal.com | Scheduling Software for Online Bookings,3226.0,bs4,0.0,
calendly.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (993),success,High,Manual Review,,2813.25,https://calendly.com,True,61.0,4818.0,COM,True,Free Online Appointment Scheduling Software | Calendly,993.0,bs4,0.0,
clickup.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1219),success,High,Manual Review,,2905.7,https://clickup.com,True,181.0,9072.0,COM,True,"ClickUp™ | Maximize productivity • Software, AI, and humans converge",1219.0,bs4,0.0,
cloudflare.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (2870),success,High,Manual Review,,5747.89,https://www.cloudflare.com/,True,33.0,6288.0,COM,True,"Connect, protect, and build everywhere | Cloudflare",2870.0,bs4,0.0,
crewai.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1107),success,High,Manual Review,,1355.84,https://crewai.com,True,79.0,3208.0,COM,True,The Leading Multi-Agent Platform,1107.0,bs4,0.0,
digitalocean.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1140),success,High,Manual Review,,853.62,https://www.digitalocean.com/,True,81.0,9521.0,COM,True,AI-Native Cloud | DigitalOcean,1140.0,bs4,0.0,
discord.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (698),success,High,Manual Review,,442.83,https://discord.com,True,84.0,9313.0,COM,True,Discord - Group Chat That’s All Fun & Games,698.0,bs4,0.0,
fly.io,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (616),success,High,Manual Review,,2168.01,https://fly.io,True,87.0,7966.0,IO,True,Build fast. Run any code fearlessly. · Fly,616.0,bs4,0.0,
freshdesk.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (899),success,High,Manual Review,,1552.96,https://www.freshworks.com/freshdesk/,True,90.0,8031.0,COM,True,Freshdesk: AI-powered platform for modern customer service | Freshworks,899.0,bs4,0.0,
ghost.org,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (920),success,High,Manual Review,,383.76,https://ghost.org,True,78.0,7621.0,ORG,True,Ghost: The best open source blog & newsletter platform,920.0,bs4,0.0,
github.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1217),success,High,Manual Review,,1708.81,https://github.com,True,86.0,6785.0,COM,True,GitHub · Change is constant. GitHub keeps you ahead. · GitHub,1217.0,bs4,0.0,
godaddy.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1337),success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),60.13,https://www.godaddy.com/,True,83.0,9928.0,COM,True,GoDaddy Official Site: Get a Domain &amp; Launch Your Website.,1337.0,serper,2.0,
granola.ai,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1862),success,High,Manual Review,,6745.76,https://www.granola.ai/,True,69.0,1778.0,AI,True,Granola ‚Äî The AI Notepad for back-to-back meetings,1862.0,bs4,0.0,
hostinger.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (2331),success,High,Manual Review,,1974.55,https://www.hostinger.com/,True,300.0,8566.0,COM,True,Hostinger - Bring Your Idea Online With a Website,2331.0,bs4,0.0,
hubspot.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (2103),success,High,Manual Review,,2055.27,https://www.hubspot.com/,True,40.0,7760.0,COM,True,HubSpot | Software & Tools for your Business - Homepage,2103.0,bs4,0.0,
intercom.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (1391),success,High,Manual Review,,2848.35,https://www.intercom.com/,True,217.0,11832.0,COM,True,Intercom | The only helpdesk designed for the AI Agent era,1391.0,bs4,0.0,
langchain.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (765),success,High,Manual Review,,572.18,https://www.langchain.com/,True,85.0,2347.0,COM,True,"LangChain: Observe, Evaluate, and Deploy Reliable AI Agents",765.0,bs4,0.0,
linkedin.com,100.0,Valid SSL | Established domain (>= 2 years) | Live content detected | High word count (740),success,High,Manual Review,,682.37,https://www.linkedin.com/,True,134.0,8587.0,COM,True,LinkedIn: Log In or Sign Up,740.0,bs4,0.0,
